Project name,Data source,Core capacities,PHEICs (response funding),Funder,Funder type,"Funder including specific sub-organization, if any",Recipient,Recipient type,"Recipient including specific sub-organization, if any",Support type,Transaction year range,Amount committed,Amount disbursed,Response-specific transaction year range,Response-specific amount committed,Response-specific amount disbursed,Transaction currency
"Programme de Relance des Investissements et de Modernisation des Exploitations Agricoles, dont le 2ème décaissement est accéléré afin de répondre aux besoins de financement s liés à la crise du Covid.",IATI Registry,,2019-2021 COVID-19 Pandemic,France,Government,France,Tunisia,Government,Tunisia,Direct financial support,2021,"4,421,103.96",,2021,"4,421,103.96",0.00,USD
Procurement Support to Trademark East Africa COVID-19 Response in East and Southern Africa,IATI Registry,,2019-2021 COVID-19 Pandemic,United Nations (UN),Organization,United Nations (UN) (United Nations Office for Project Services (UNOPS)),Kenya,Government,Kenya,Direct financial support,2020 - 2021,"4,418,817.00","2,654,278.00",2020 - 2021,"4,418,817.00","2,654,278.00",USD
COVID-19 Geneva Call core support 2020-2022,IATI Registry,,2019-2021 COVID-19 Pandemic,Sweden,Government,Sweden,Low and middle-income countries (LMIC),Other,Low and middle-income countries (LMIC),Direct financial support,2020 - 2021,"4,375,821.15","3,257,435.10",2020 - 2021,"4,375,821.15","3,257,435.10",USD
COVID-19: Animal Models,IATI Registry,,2019-2021 COVID-19 Pandemic,Bill & Melinda Gates Foundation,Organization,Bill & Melinda Gates Foundation,Low and middle-income countries (LMIC),Other,Low and middle-income countries (LMIC),Direct financial support,2020,"4,352,365.00","4,352,365.00",2020,"4,352,365.00","4,352,365.00",USD
Emergency COVID-19 Activities,IATI Registry,,2019-2021 COVID-19 Pandemic,United States of America,Government,United States of America (United States Agency for International Development (USAID)),Chad; Burkina Faso; Cameroon; Niger,Government,Chad; Burkina Faso; Cameroon; Niger,Direct financial support,2020,"4,341,538.00","4,273,766.00",2020,"4,341,538.00","4,273,766.00",USD
COVID-19 UNHABITAT innovative solutions for IDPS II,IATI Registry,,2019-2021 COVID-19 Pandemic,Sweden,Government,Sweden,Somalia,Government,Somalia,Direct financial support,2020 - 2021,"4,324,534.35","2,253,800.12",2020 - 2021,"4,324,534.35","2,253,800.12",USD
South Sudan - Support to the Covid-19 Pandemic Response Project,IATI Registry,,2019-2021 COVID-19 Pandemic,African Development Bank,Organization,African Development Bank,South Sudan,Government,South Sudan,Direct financial support,2020,"4,320,805.40","4,320,805.40",2020,"4,320,805.40","4,320,805.40",USD
Enhancing social protection and resilience during the Covid-19 crisis,IATI Registry,,2019-2021 COVID-19 Pandemic,Germany,Government,Germany,Low and middle-income countries (LMIC),Other,Low and middle-income countries (LMIC),Direct financial support,2020,"4,294,444.90","4,294,444.90",2020,"4,294,444.90","4,294,444.90",USD
Small project fund for the prevention and control of COVID-19 in African countries,IATI Registry,,2019-2021 COVID-19 Pandemic,Germany,Government,Germany,Sub-Saharan Africa,Other,Sub-Saharan Africa,Direct financial support,2020,"4,257,948.20","1,881,600.78",2020,"4,257,948.20","1,881,600.78",USD
FICR 2020 Llamamiento de Emergencia revisado: Brote COVID-19 (COVID-19),IATI Registry,,2019-2021 COVID-19 Pandemic,Spain,Government,Spain (Spanish Agency for International Development Cooperation (AECID)),America,Other,America,Direct financial support,2020,"4,257,948.20","4,257,948.20",2020,"4,257,948.20","4,257,948.20",USD
UN COVID-19 Response and Recovery Multi Partner Trust Fund,IATI Registry,,2019-2021 COVID-19 Pandemic,Finland,Government,Finland,Low and middle-income countries (LMIC),Other,Low and middle-income countries (LMIC),Direct financial support,2020,"4,257,948.20","4,257,948.20",2020,"4,257,948.20","4,257,948.20",USD
"Critical preparedness, readiness and response actions for Coronavirus disease (COVID-19) Pandemic in Gilgit-Baltistan and Chitral",IATI Registry,,2019-2021 COVID-19 Pandemic,European Union,Government,European Union,Pakistan,Government,Pakistan,Direct financial support,2020,"4,257,948.20","3,406,358.56",2020,"4,257,948.20","3,406,358.56",USD
Health Corridors Programme: Covid-19 Pandemic Preparedness & Response Workstream,IATI Registry,Unspecified,2019-2021 COVID-19 Pandemic,New Zealand,Government,New Zealand,Niue; New Zealand; Tuvalu; Cook Islands; Samoa; Tonga,Government,Niue; New Zealand (Tokelau); Tuvalu; Cook Islands; Samoa; Tonga,Direct financial support,2021,"4,206,283.03",,2021,"4,206,283.03",0.00,USD
13 CAP - COVID-19,IATI Registry,,2019-2021 COVID-19 Pandemic,United Nations (UN),Organization,United Nations (UN) (United Nations Children's Fund (UNICEF)),India,Government,India,Direct financial support,2020 - 2021,"4,200,291.00","1,413,446.00",2020 - 2021,"4,200,291.00","1,413,446.00",USD
"Early warning, disaster preparedness, rapid emergency response and support to COVID-19 vaccination campaigns in Western Madagascar",IATI Registry,,2019-2021 COVID-19 Pandemic,European Union,Government,European Union,Madagascar,Government,Madagascar,Direct financial support,2021,"4,184,183.07","4,184,183.07",2021,"4,184,183.07","4,184,183.07",USD
COVID-19: NHP adjuvant study,IATI Registry,,2019-2021 COVID-19 Pandemic,Bill & Melinda Gates Foundation,Organization,Bill & Melinda Gates Foundation,Low and middle-income countries (LMIC),Other,Low and middle-income countries (LMIC),Direct financial support,2020 - 2021,"4,183,054.00","4,183,054.00",2020 - 2021,"4,183,054.00","4,183,054.00",USD
COVID-19 Information Management,IATI Registry,,2019-2021 COVID-19 Pandemic,United States of America,Government,United States of America (United States Agency for International Development (USAID)),Not reported,Other,Not reported,Direct financial support,2020 - 2021,"4,154,604.00","3,907,900.00",2020 - 2021,"4,154,604.00","3,907,900.00",USD
Iceland funds GAVI for COVID-19 Response,EIU Tracker 03-Aug-2021,P.7,2019-2021 COVID-19 Pandemic,Iceland,Government,Iceland,Global Alliance for Vaccines and Immunisation (GAVI),Organization,Global Alliance for Vaccines and Immunisation (GAVI),Direct financial support,2021,"4,150,000.00",,2021,"4,150,000.00",0.00,USD
Thistledown Foundation funds GAVI for COVID-19 Response,EIU Tracker 03-Aug-2021,P.7,2019-2021 COVID-19 Pandemic,Thistledown Foundation,Organization,Thistledown Foundation,Global Alliance for Vaccines and Immunisation (GAVI),Organization,Global Alliance for Vaccines and Immunisation (GAVI),Direct financial support,2021,"4,140,000.00","4,140,000.00",2021,"4,140,000.00","4,140,000.00",USD
COVID-19 UNICEF Somalia 2021-2022 thematic support health and protective environment,IATI Registry,Unspecified,2019-2021 COVID-19 Pandemic,Sweden,Government,Sweden,Somalia,Government,Somalia,Direct financial support,2021,"4,071,793.87","2,171,623.40",2021,"4,071,793.87","2,171,623.40",USD
6.04 EDUCATION COVID-19 RESPONSE,IATI Registry,,2019-2021 COVID-19 Pandemic,United Nations (UN),Organization,United Nations (UN) (United Nations Children's Fund (UNICEF)),Bangladesh,Government,Bangladesh,Direct financial support,2020 - 2021,"4,066,661.00","2,281,296.00",2020 - 2021,"4,066,661.00","2,281,296.00",USD
Special Measures 2020 for Pakistan COVID-19 response - addressing the needs of Afghan refugees and host communities affected by COVID-19 pandemic,IATI Registry,Unspecified,2019-2021 COVID-19 Pandemic,European Commission - International Partnerships,Organization,European Commission - International Partnerships,Pakistan,Government,Pakistan,Direct financial support,2020,"4,064,634.98",,2020,"4,064,634.98",0.00,USD
Asistencia a INVEST Honduras en la implementación del Proyecto de Respuesta a la Emergencia por COVID 19 en Honduras,IATI Registry,,2019-2021 COVID-19 Pandemic,United Nations (UN),Organization,United Nations (UN) (United Nations Office for Project Services (UNOPS)),Honduras,Government,Honduras,Direct financial support,2021,"4,037,731.00","559,165.00",2021,"4,037,731.00","559,165.00",USD
COVID-19: Vaccine on Pichia expression system - BioE,IATI Registry,,2019-2021 COVID-19 Pandemic,Bill & Melinda Gates Foundation,Organization,Bill & Melinda Gates Foundation,Low and middle-income countries (LMIC),Other,Low and middle-income countries (LMIC),Direct financial support,2020,"4,019,427.00","4,019,427.00",2020,"4,019,427.00","4,019,427.00",USD
UNFPA - Humanitarian Thematic Fund and COVID-19 Global Response Plan,IATI Registry,,2019-2021 COVID-19 Pandemic,Norway,Government,Norway (Norad - Norwegian Agency for Development Cooperation),Low and middle-income countries (LMIC),Other,Low and middle-income countries (LMIC),Direct financial support,2020,"4,015,343.27","4,015,343.27",2020,"4,015,343.27","4,015,343.27",USD
COVID-19 Situation Analysis,IATI Registry,,2019-2021 COVID-19 Pandemic,United States of America,Government,United States of America (United States Agency for International Development (USAID)),Not reported; Syrian Arab Republic,Other; Government,Not reported; Syrian Arab Republic,Direct financial support,2020 - 2021,"4,012,650.00","823,017.42",2020 - 2021,"4,012,650.00","823,017.42",USD
Emergency Procurement Support for Medical Equipment in Response to COVID-19 in Pakistan,IATI Registry,,2019-2021 COVID-19 Pandemic,United Nations (UN),Organization,United Nations (UN) (United Nations Office for Project Services (UNOPS)),Pakistan,Government,Pakistan,Direct financial support,2020 - 2021,"4,012,348.00","3,843,985.00",2020 - 2021,"4,012,348.00","3,843,985.00",USD
Procurement Support to Strengthen the Capacity and COVID-19 Response of Indonesia's Health System,IATI Registry,,2019-2021 COVID-19 Pandemic,United Nations (UN),Organization,United Nations (UN) (United Nations Office for Project Services (UNOPS)),Indonesia,Government,Indonesia,Direct financial support,2020 - 2021,"4,000,320.00","1,278,769.00",2020 - 2021,"4,000,320.00","1,278,769.00",USD
COVID-19: Support ACDC to implement Regional framework,IATI Registry,,2019-2021 COVID-19 Pandemic,Bill & Melinda Gates Foundation,Organization,Bill & Melinda Gates Foundation,Sub-Saharan Africa,Other,Sub-Saharan Africa,Direct financial support,2020,"4,000,075.00","1,000,000.00",2020,"4,000,075.00","1,000,000.00",USD
"COVID-19: Pacific Disaster Resilience Program, Phase 3",IATI Registry,,2019-2021 COVID-19 Pandemic,Asian Development Bank,Organization,Asian Development Bank,Tuvalu,Government,Tuvalu,Direct financial support,2020 - 2021,"4,000,000.00",0.00,2020 - 2021,"4,000,000.00",0.00,USD
DRC COVID-19 Support,IATI Registry,,2019-2021 COVID-19 Pandemic,United States of America,Government,United States of America (United States Agency for International Development (USAID)),Democratic Republic of the Congo,Government,Democratic Republic of the Congo,Direct financial support,2020,"4,000,000.00","448,015.38",2020,"4,000,000.00","448,015.38",USD
Mali COVID-19 Emergency Food Assistance.,IATI Registry,,2019-2021 COVID-19 Pandemic,United States of America,Government,United States of America (United States Agency for International Development (USAID)),Mali,Government,Mali,Direct financial support,2020 - 2021,"4,000,000.00","3,994,164.82",2020 - 2021,"4,000,000.00","3,994,164.82",USD
Discrete Activities In Service Of Mitigating The Impact Of COVID-19 On Vulnerable Populations In Northern Italy,IATI Registry,,2019-2021 COVID-19 Pandemic,United States of America,Government,United States of America (United States Agency for International Development (USAID)),Not reported; Italy,Other; Government,Not reported; Italy,Direct financial support,2020 - 2021,"4,000,000.00","4,000,000.00",2020 - 2021,"4,000,000.00","4,000,000.00",USD
Procurement Support to Prevent and Respond to COVID-19 in Tunisia,IATI Registry,,2019-2021 COVID-19 Pandemic,United Nations (UN),Organization,United Nations (UN) (United Nations Office for Project Services (UNOPS)),Tunisia,Government,Tunisia,Direct financial support,2020 - 2021,"4,000,000.00","3,091,084.00",2020 - 2021,"4,000,000.00","3,091,084.00",USD
Uganda COVID-19 award,IATI Registry,,2019-2021 COVID-19 Pandemic,United States of America,Government,United States of America (United States Agency for International Development (USAID)),Uganda,Government,Uganda,Direct financial support,2020 - 2021,"4,000,000.00","2,986,955.96",2020 - 2021,"4,000,000.00","2,986,955.96",USD
RSE COVID CIEL HEALTHCARE LIMITED,IATI Registry,,2019-2021 COVID-19 Pandemic,World Bank,Organization,World Bank (International Finance Corporation),Uganda,Government,Uganda,Direct financial support,2020,"4,000,000.00",,2020,"4,000,000.00",0.00,USD
COVID-19: Credo COVID-19 Support for Agriculture Borrowers Project,IATI Registry,,2019-2021 COVID-19 Pandemic,Asian Development Bank,Organization,Asian Development Bank,Georgia,Government,Georgia,Direct financial support,2020 - 2021,"4,000,000.00","3,693,804.62",2020 - 2021,"4,000,000.00","3,693,804.62",USD
COVID-19 RBD-HBsAg vaccine development - Serum Institute of India,IATI Registry,,2019-2021 COVID-19 Pandemic,Bill & Melinda Gates Foundation,Organization,Bill & Melinda Gates Foundation,Low and middle-income countries (LMIC),Other,Low and middle-income countries (LMIC),Direct financial support,2020,"4,000,000.00","4,000,000.00",2020,"4,000,000.00","4,000,000.00",USD
Strengthening the Health Capacity and COVID-19 Response in Chad,IATI Registry,,2019-2021 COVID-19 Pandemic,United Nations (UN),Organization,United Nations (UN) (United Nations Office for Project Services (UNOPS)),Chad,Government,Chad,Direct financial support,2020 - 2021,"3,998,038.00","235,681.00",2020 - 2021,"3,998,038.00","235,681.00",USD
Building Back Essential Nutrition Services in Bangladesh during COVID-19,IATI Registry,Unspecified,2019-2021 COVID-19 Pandemic,Canada,Government,Canada,Bangladesh,Government,Bangladesh,Direct financial support,2021,"3,997,094.13","3,997,094.13",2021,"3,997,094.13","3,997,094.13",USD
"Emergency Appeal for COVID, Malawi",IATI Registry,,2019-2021 COVID-19 Pandemic,Canada,Government,Canada,Malawi,Government,Malawi,Direct financial support,2021,"3,997,094.13","3,997,094.13",2021,"3,997,094.13","3,997,094.13",USD
2020 CRRP - COVID-19 Face Mask Project,IATI Registry,,2019-2021 COVID-19 Pandemic,Mastercard,Organization,Mastercard,Nigeria,Government,Nigeria,Direct financial support,2020,"3,979,875.00",,2020,"3,979,875.00",0.00,USD
COVID-19 CTA GPP: Gates MRI Clinical Trial Management Platform,IATI Registry,,2019-2021 COVID-19 Pandemic,Bill & Melinda Gates Foundation,Organization,Bill & Melinda Gates Foundation,Low and middle-income countries (LMIC),Other,Low and middle-income countries (LMIC),Direct financial support,2020 - 2021,"3,971,404.00","3,971,404.00",2020 - 2021,"3,971,404.00","3,971,404.00",USD
Finland funds International Federation of Red Cross and Red Crescent Societies for COVID-19 Response,EIU Tracker 03-Aug-2021,R.2,2019-2021 COVID-19 Pandemic,Finland,Government,Finland,International Red Cross and Red Crescent Movement,Organization,International Red Cross and Red Crescent Movement (International Federation of Red Cross and Red Crescent Societies),Direct financial support,2020,"3,938,688.00",,2020,"3,938,688.00",0.00,USD
St Helena COVID 19 Support,IATI Registry,,2019-2021 COVID-19 Pandemic,United Kingdom,Government,United Kingdom,United Kingdom,Government,United Kingdom (Saint Helena),Direct financial support,2020 - 2021,"3,907,131.31","3,910,585.63",2020 - 2021,"3,907,131.31","3,910,585.63",USD
Kakamega service delivery redesign &digital platform for COVID19 response,IATI Registry,Unspecified,2019-2021 COVID-19 Pandemic,Bill & Melinda Gates Foundation,Organization,Bill & Melinda Gates Foundation,Kenya,Government,Kenya,Direct financial support,2020 - 2021,"3,904,954.00","662,705.00",2020 - 2021,"3,904,954.00","662,705.00",USD
Advancing Quality Education and Sexual and Reproductive Health and Rights - FASE COVID-19,IATI Registry,,2019-2021 COVID-19 Pandemic,Canada,Government,Canada,Mozambique,Government,Mozambique,Direct financial support,2020 - 2021,"3,903,319.15","3,997,094.13",2020 - 2021,"3,903,319.15","3,997,094.13",USD
Secure Access to Family Planning in the Context of COVID-19 in Burkina Faso,IATI Registry,Unspecified,2019-2021 COVID-19 Pandemic,Canada,Government,Canada,Burkina Faso,Government,Burkina Faso,Direct financial support,2020,"3,903,319.15","2,341,991.49",2020,"3,903,319.15","2,341,991.49",USD
"Coronavirus Aid, Relief, and Economic Security (CARES) Act",IATI Registry,,2019-2021 COVID-19 Pandemic,United States of America,Government,United States of America,Marshall Islands,Government,Marshall Islands,Direct financial support,2020,"3,894,720.00","3,008,010.00",2020,"3,894,720.00","3,008,010.00",USD
